Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0293	14.14214	15.89384	61.99968	49.34217	12.65751	-1.29841	0.85254	0.00000
0294	14.14214	16.15041	58.45522	45.33597	13.11925	-1.40140	0.84668	0.00000
0295	14.14214	15.51136	42.23325	35.28357	6.94968	-1.13125	0.86035	0.34863
0296	14.14214	16.02975	37.95817	29.19499	8.76319	-1.35383	0.84863	0.07520
0297	14.14214	15.46834	33.81263	28.78087	5.03176	-1.11136	0.86230	0.54199
0298	14.14214	16.43998	57.69188	43.49026	14.20162	-1.50957	0.84082	0.00000
0299	14.14214	16.96425	45.00242	30.86052	14.14190	-1.68563	0.82910	0.00000
0300	14.14214	15.10941	39.43260	35.28495	4.14765	-0.93617	0.86816	0.64160
0301	14.14214	15.07226	55.00859	47.78627	7.22232	-0.91706	0.87012	0.37012
0302	14.14214	15.53056	44.29353	36.83243	7.46110	-1.14005	0.86035	0.29199
0303	14.14214	15.66693	61.44836	49.92986	11.51850	-1.20129	0.85645	0.00000
0304	14.14214	17.33722	42.62673	27.42312	15.20361	-1.79696	0.82129	0.00000
0305	14.14214	15.59936	58.89061	48.19335	10.69725	-1.17123	0.85840	0.00000
0306	14.14214	15.06887	65.64586	56.19328	9.45258	-0.91531	0.87012	0.13184
0307	14.14214	14.62708	44.22138	41.93913	2.28225	-0.67241	0.87988	0.78418
0308	14.14214	16.12739	35.41112	26.64432	8.76680	-1.39244	0.84668	0.06152
0309	14.14214	16.77228	53.26460	38.49241	14.77219	-1.62395	0.83301	0.00000
0310	14.14214	15.91490	49.96201	39.49232	10.46970	-1.30712	0.85254	0.00000
0311	14.14214	15.01278	86.76381	73.10232	13.66149	-0.88606	0.87207	0.00000
0312	14.14214	16.35198	55.19384	41.80540	13.38844	-1.47756	0.84277	0.00000
0313	14.14214	15.07748	37.26968	33.76465	3.50503	-0.91976	0.87012	0.68848
